Date,Open,High,Low,Close
2010-06-30,-0.1,-0.1,-0.1,-0.1
2010-09-30,-1,-1,-1,-1
2010-12-31,-0.6,-0.6,-0.6,-0.6
2011-03-31,1.4,1.4,1.4,1.4
2011-06-30,1,1,1,1
2011-09-30,2,2,2,2
2011-12-30,2.1,2.1,2.1,2.1
2012-03-30,0.2,0.2,0.2,0.2
2012-06-29,0.4,0.4,0.4,0.4
2012-09-28,0.1,0.1,0.1,0.1
2012-12-31,3.8,3.8,3.8,3.8
2013-03-29,1.6,1.6,1.6,1.6
2013-06-28,2,2,2,2
2013-09-30,1.9,1.9,1.9,1.9
2013-12-31,-1.1,-1.1,-1.1,-1.1
2014-03-31,2.5,2.5,2.5,2.5
2014-06-30,0.7,0.7,0.7,0.7
2014-09-30,1.2,1.2,1.2,1.2
2014-12-31,3,3,3,3
2015-03-31,1.2,1.2,1.2,1.2
2015-06-30,2,2,2,2
2015-09-30,2.7,2.7,2.7,2.7
2015-12-31,2.6,2.6,2.6,2.6
2016-03-31,2.4,2.4,2.4,2.4
2016-06-30,3.1,3.1,3.1,3.1
2016-09-30,3,3,3,3
2016-12-30,-0.4,-0.4,-0.4,-0.4
2017-03-31,0.7,0.7,0.7,0.7
2017-06-30,-0.6,-0.6,-0.6,-0.6
2017-09-29,-0.4,-0.4,-0.4,-0.4
2017-12-29,1.8,1.8,1.8,1.8
2018-03-30,2,2,2,2
2018-06-29,1.9,1.9,1.9,1.9
2018-09-28,1.6,1.6,1.6,1.6
2019-06-28,2,2,2,2
2019-09-30,1.6,1.6,1.6,1.6
2019-12-31,1.7,1.7,1.7,1.7
2020-03-31,2.5,2.5,2.5,2.5
2020-06-30,5.7,5.7,5.7,5.7
2020-09-30,3.1,3.1,3.1,3.1
2020-12-31,6.1,6.1,6.1,6.1
2021-03-31,2.3,2.3,2.3,2.3
2021-06-30,1.3,1.3,1.3,1.3
2021-09-30,6.7,6.7,6.7,6.7
2021-12-31,4.3,4.3,4.3,4.3
2022-03-31,8.2,8.2,8.2,8.2
2022-06-30,9.3,9.3,9.3,9.3
2022-09-30,6.1,6.1,6.1,6.1